Algoritmo,Imagen,Tiempo
CUDA CPU,image_1000_0_0.png,20225
CPU,image_1000_0_0.png,19539
CUDA, image_1000_0_0.png,7355
CUDA V2, image_1000_0_0.png,5124
CUDA CPU V2, image_1000_0_0.png,5534
CUDA CPU,image_1000_0_1.png,7051
CPU,image_1000_0_1.png,20476
CUDA, image_1000_0_1.png,6983
CUDA V2, image_1000_0_1.png,5188
CUDA CPU V2, image_1000_0_1.png,5718
CUDA CPU,image_1000_0_2.png,6794
CPU,image_1000_0_2.png,19976
CUDA, image_1000_0_2.png,7066
CUDA V2, image_1000_0_2.png,5023
CUDA CPU V2, image_1000_0_2.png,5113
CUDA CPU,image_1000_0_3.png,6998
CPU,image_1000_0_3.png,20084
CUDA, image_1000_0_3.png,7212
CUDA V2, image_1000_0_3.png,5784
CUDA CPU V2, image_1000_0_3.png,5396
CUDA CPU,image_1000_0_4.png,6824
CPU,image_1000_0_4.png,19882
CUDA, image_1000_0_4.png,7656
CUDA V2, image_1000_0_4.png,5474
CUDA CPU V2, image_1000_0_4.png,5758
CUDA CPU,image_1000_0_5.png,7328
CPU,image_1000_0_5.png,19759
CUDA, image_1000_0_5.png,7521
CUDA V2, image_1000_0_5.png,6023
CUDA CPU V2, image_1000_0_5.png,5383
CUDA CPU,image_1000_0_6.png,9710
CPU,image_1000_0_6.png,19662
CUDA, image_1000_0_6.png,8187
CUDA V2, image_1000_0_6.png,5627
CUDA CPU V2, image_1000_0_6.png,5531
CUDA CPU,image_1000_0_7.png,7446
CPU,image_1000_0_7.png,19573
CUDA, image_1000_0_7.png,7725
CUDA V2, image_1000_0_7.png,5627
CUDA CPU V2, image_1000_0_7.png,5650
CUDA CPU,image_1000_0_8.png,7419
CPU,image_1000_0_8.png,19704
CUDA, image_1000_0_8.png,7463
CUDA V2, image_1000_0_8.png,5696
CUDA CPU V2, image_1000_0_8.png,5616
CUDA CPU,image_1000_0_9.png,7184
CPU,image_1000_0_9.png,19668
CUDA, image_1000_0_9.png,7506
CUDA V2, image_1000_0_9.png,5583
CUDA CPU V2, image_1000_0_9.png,5452
CUDA CPU,image_1000_12_0.png,12216
CPU,image_1000_12_0.png,43688
CUDA, image_1000_12_0.png,12280
CUDA V2, image_1000_12_0.png,9985
CUDA CPU V2, image_1000_12_0.png,9987
CUDA CPU,image_1000_12_1.png,14881
CPU,image_1000_12_1.png,43902
CUDA, image_1000_12_1.png,12336
CUDA V2, image_1000_12_1.png,11734
CUDA CPU V2, image_1000_12_1.png,10507
CUDA CPU,image_1000_12_2.png,15136
CPU,image_1000_12_2.png,43893
CUDA, image_1000_12_2.png,18914
CUDA V2, image_1000_12_2.png,13290
CUDA CPU V2, image_1000_12_2.png,11083
CUDA CPU,image_1000_12_3.png,15932
CPU,image_1000_12_3.png,44281
CUDA, image_1000_12_3.png,18656
CUDA V2, image_1000_12_3.png,12968
CUDA CPU V2, image_1000_12_3.png,11145
CUDA CPU,image_1000_12_4.png,16468
CPU,image_1000_12_4.png,43044
CUDA, image_1000_12_4.png,22216
CUDA V2, image_1000_12_4.png,13346
CUDA CPU V2, image_1000_12_4.png,10814
CUDA CPU,image_1000_12_5.png,16881
CPU,image_1000_12_5.png,45752
CUDA, image_1000_12_5.png,18738
CUDA V2, image_1000_12_5.png,12486
CUDA CPU V2, image_1000_12_5.png,12196
CUDA CPU,image_1000_12_6.png,15990
CPU,image_1000_12_6.png,42869
CUDA, image_1000_12_6.png,17933
CUDA V2, image_1000_12_6.png,12549
CUDA CPU V2, image_1000_12_6.png,11376
CUDA CPU,image_1000_12_7.png,16488
CPU,image_1000_12_7.png,43343
CUDA, image_1000_12_7.png,18564
CUDA V2, image_1000_12_7.png,13065
CUDA CPU V2, image_1000_12_7.png,11406
CUDA CPU,image_1000_12_8.png,17493
CPU,image_1000_12_8.png,43021
CUDA, image_1000_12_8.png,22608
CUDA V2, image_1000_12_8.png,13883
CUDA CPU V2, image_1000_12_8.png,11664
CUDA CPU,image_1000_12_9.png,18995
CPU,image_1000_12_9.png,43020
CUDA, image_1000_12_9.png,18460
CUDA V2, image_1000_12_9.png,12565
CUDA CPU V2, image_1000_12_9.png,10793
CUDA CPU,image_1000_15_0.png,17178
CPU,image_1000_15_0.png,49723
CUDA, image_1000_15_0.png,20105
CUDA V2, image_1000_15_0.png,14957
CUDA CPU V2, image_1000_15_0.png,12194
CUDA CPU,image_1000_15_1.png,16821
CPU,image_1000_15_1.png,48953
CUDA, image_1000_15_1.png,23194
CUDA V2, image_1000_15_1.png,15124
CUDA CPU V2, image_1000_15_1.png,12123
CUDA CPU,image_1000_15_2.png,17442
CPU,image_1000_15_2.png,52175
CUDA, image_1000_15_2.png,20427
CUDA V2, image_1000_15_2.png,13307
CUDA CPU V2, image_1000_15_2.png,12609
CUDA CPU,image_1000_15_3.png,17501
CPU,image_1000_15_3.png,50051
CUDA, image_1000_15_3.png,25206
CUDA V2, image_1000_15_3.png,14591
CUDA CPU V2, image_1000_15_3.png,12157
CUDA CPU,image_1000_15_4.png,18741
CPU,image_1000_15_4.png,51123
CUDA, image_1000_15_4.png,20427
CUDA V2, image_1000_15_4.png,13413
CUDA CPU V2, image_1000_15_4.png,11554
CUDA CPU,image_1000_15_5.png,20391
CPU,image_1000_15_5.png,48769
CUDA, image_1000_15_5.png,20497
CUDA V2, image_1000_15_5.png,15554
CUDA CPU V2, image_1000_15_5.png,12949
CUDA CPU,image_1000_15_6.png,17667
CPU,image_1000_15_6.png,49369
CUDA, image_1000_15_6.png,19848
CUDA V2, image_1000_15_6.png,13353
CUDA CPU V2, image_1000_15_6.png,12108
CUDA CPU,image_1000_15_7.png,18069
CPU,image_1000_15_7.png,48525
CUDA, image_1000_15_7.png,24808
CUDA V2, image_1000_15_7.png,13536
CUDA CPU V2, image_1000_15_7.png,12055
CUDA CPU,image_1000_15_8.png,18241
CPU,image_1000_15_8.png,48928
CUDA, image_1000_15_8.png,20405
CUDA V2, image_1000_15_8.png,13526
CUDA CPU V2, image_1000_15_8.png,11853
CUDA CPU,image_1000_15_9.png,17328
CPU,image_1000_15_9.png,51211
CUDA, image_1000_15_9.png,19004
CUDA V2, image_1000_15_9.png,13340
CUDA CPU V2, image_1000_15_9.png,11955
CUDA CPU,image_1000_18_0.png,17989
CPU,image_1000_18_0.png,54663
CUDA, image_1000_18_0.png,19460
CUDA V2, image_1000_18_0.png,14249
CUDA CPU V2, image_1000_18_0.png,12608
CUDA CPU,image_1000_18_1.png,21064
CPU,image_1000_18_1.png,54242
CUDA, image_1000_18_1.png,23967
CUDA V2, image_1000_18_1.png,15424
CUDA CPU V2, image_1000_18_1.png,12434
CUDA CPU,image_1000_18_2.png,18305
CPU,image_1000_18_2.png,54435
CUDA, image_1000_18_2.png,20877
CUDA V2, image_1000_18_2.png,14476
CUDA CPU V2, image_1000_18_2.png,14058
CUDA CPU,image_1000_18_3.png,17438
CPU,image_1000_18_3.png,55343
CUDA, image_1000_18_3.png,19884
CUDA V2, image_1000_18_3.png,14410
CUDA CPU V2, image_1000_18_3.png,12368
CUDA CPU,image_1000_18_4.png,17491
CPU,image_1000_18_4.png,56848
CUDA, image_1000_18_4.png,20079
CUDA V2, image_1000_18_4.png,13678
CUDA CPU V2, image_1000_18_4.png,12607
CUDA CPU,image_1000_18_5.png,19546
CPU,image_1000_18_5.png,54227
CUDA, image_1000_18_5.png,20593
CUDA V2, image_1000_18_5.png,14763
CUDA CPU V2, image_1000_18_5.png,14314
CUDA CPU,image_1000_18_6.png,18608
CPU,image_1000_18_6.png,54272
CUDA, image_1000_18_6.png,20477
CUDA V2, image_1000_18_6.png,15644
CUDA CPU V2, image_1000_18_6.png,14081
CUDA CPU,image_1000_18_7.png,20434
CPU,image_1000_18_7.png,57376
CUDA, image_1000_18_7.png,25118
CUDA V2, image_1000_18_7.png,14104
CUDA CPU V2, image_1000_18_7.png,12567
CUDA CPU,image_1000_18_8.png,20592
CPU,image_1000_18_8.png,54729
CUDA, image_1000_18_8.png,20839
CUDA V2, image_1000_18_8.png,14178
